Restaurant,Address,Author_Name,Review,Anger,Fear,Joy,Sadness,Sentiment
Lai Huat Signatures,"#01-01, 133 Amoy St, Singapore 049962",Yeo Jian Hong,This will be my first and the last time trying this restaurant. Not worth the money. I am so disappointed with the overcooked sambal fish. The service is so bad and the waiting time for the food is very long.,0.5762,0.5165,0.3624,0.6065,0.4169
Original Chew Kee Eating House,"#01-01, 133 Amoy St, Singapore 049962",SG sg,"The soy sauce chicken is very very very expensive. Bought half chicken yesterday 25.8.19 at $16. It's too expensive for a coffeeshop food. I noted crystal jade at nex shopping mall (a stall inside Cold Storage) is selling at $11.80 only, and for whole chicken only $19.80 which I think is very reasonable price.",0.5747,0.4739,0.3834,0.4261,0.4109
Kitchen by Food Rebel,"#01-01, 133 Amoy St, Singapore 049962",Andre Rubin,"Food was not horrible, but service was the worst I experienced in Singapore. They have separate menus for weekdays and weekends, but I ended up ordering from the menu page that had no day limitations. The owner was taking my order was she was insisting to let me know how wrong I was in ordering from the wrong menu (even though there was no date limitation on it). However, she took my order from the apparent wrong menu anyway. A few minutes later, they bring my food, and it was not what I ordered. That's fine, people make mistakes sometimes, no worries. So I repeated what I ordered and I got the same ""you are ordering from the wrong menu spiel"" and that somehow, I needed to pay more for the same food I was having. They came to my table three times to let me know that I was doing something wrong! (all the while, ordering from the menu that had no date limitation)! Horrible service. Never coming back. And suggestion for you (as I've seen you read the negative reviews): fix your menu.",0.5732,0.5204,0.2268,0.4965,0.3453
Corner Bar L'Operetta,"#01-01, 133 Amoy St, Singapore 049962",Veeru C,Horrible service. They live in their own world. Even I tried complaining to the owner. But just don't seem to care.,0.5704,0.4302,0.222,0.5396,0.3412
Lai Huat Signatures,"#01-01, 133 Amoy St, Singapore 049962",Jess Lee,"Deeply disappointed!!! Absolutely not value for money. I came for the Ala-carte buffet. Food was salty and non-appetising at all. Honestly this is the worst buffet dinner ever that I have eaten!! It is unbelievable that even Omelette can be such a failure!! No egg taste leh. Don't know what had gone wrong! Their signature sambal fish was very dry. Just wonder how can this be a signature dish! Cereal dishes were dry. Place was warm as can see several customers, including myself, wiping off the sweat. Service staff were unfriendly and need to be asked for our serving plates to be changed. Very dissatisfied stomach and will not visit again.",0.5667,0.4089,0.3434,0.4925,0.4088
Yakiniku-Oh GOEN,"#01-01, 133 Amoy St, Singapore 049962",honvie chang,"This restaurant is a BBQ joint with decent but rather pricey meat cuts that also serves a limited menu of cooked food for those not planning to have some hands-on grilling experience. Sides and appetizers are about $8 each before GST. Hence a small cucumber salad or potato salad will set you back $8.56 each. Asahi draft is expensive. About $10.50 after GST for a small mug. Better to go with the high-balls which are similarly priced. No before and after HH prices btw. This restaurant also charges $3 for charcoal PER person. To me this charge is baffling. If using charcoal is their USP, why charge the customer? I don't see any Korean BBQ joints charging consumers for the gas stoves! This restaurant also charges you a credit card fee of about 5%. Seriously? In this time and age? The food is OK. But please don't antagonize your customers with these charges...",0.5664,0.448,0.2962,0.4033,0.3972
Corner Bar L'Operetta,"#01-01, 133 Amoy St, Singapore 049962",Ken Ko,"One of the worst eateries I have eaten. Not sure whether is because the management is having some problems with the store. From the cashier to the waitress, all was frowning, super bad attitude. The cashier was sitting there like you owe him lots of money, can you faster pay attitude where Im the only one at the cashier and store was rather empty due to early lunch time at 11am. The waitress was worst, ""Are you done""!!! In a rude tone. Food wise we had Signature Kaisen don, Unagi don and Tuna don. The sashimi doesnt have the taste, texture that a fresh sashimi should have.",0.5624,0.4632,0.3291,0.4616,0.4442
MOJO,"#01-01, 133 Amoy St, Singapore 049962",Clarissa Eyu,went for dinner on Wednesday night - food was great but the service was terrible - we were literally the only group of people in the back and trying to grab anyone's attention to get anything done was darn near impossible because the staff were always out front. many times we had to walk up to chase the staff regarding our orders. would probably not come back since similar food can be found elsewhere!,0.5621,0.506,0.3198,0.4301,0.4514
MOJO,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Clarissa Eyu,went for dinner on Wednesday night - food was great but the service was terrible - we were literally the only group of people in the back and trying to grab anyone's attention to get anything done was darn near impossible because the staff were always out front. many times we had to walk up to chase the staff regarding our orders. would probably not come back since similar food can be found elsewhere!,0.5621,0.506,0.3198,0.4301,0.4514
Manna Korean Restaurant,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Jolene Shen,"We arrived at 530pm and were shown a table. But no service whatsoever was rendered. We were left alone with no menu or service until my husband had to call one server over. We were the first and only customer in the restaurant and were told that the restaurant preparation were not ready. We told the staff nicely that we would appreciate being informed, not ignored. Afterwards the staff treated us with black sullen faces. No response from them even when we spoke to them. Not what i'd expect from a service staff. Food was ok but won't be going back again.",0.5619,0.4426,0.2809,0.4803,0.4029
MARUKYU Japanese Dining,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Hilton Lam,Delicious sushi with very poor service. Some cranky servers.,0.5581,0.3299,0.3936,0.4929,0.3428
Straits Chinese Restaurant,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Alan Chan,"Didn't get a chance to eat here, tried walking in n the staff was so rude we walked out, seems full of tourists though",0.5567,0.5434,0.2846,0.4676,0.3607
Kabuke,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Eunice Koh,"Due to my work commitments, I could only have my lunch at 130pm. Food took awhile to come but by 2pm they were interrupting us andpassively chasing us out (making us settle the bill in the midst of our meal) and by 230pm we were rudely harassed into leaving. If they expect everyone to have a one hour quick lunch and be flushed out of their premises by closing time of 2pm, they should firstly refuse any customers by 1pm and secondly not have accepted our additional drinks order only to rush us away in the midst of our drinks. If only they had taken half as much effort to serve us better (eg our water was never refilled).Very uncalled for considering the amount I spent on the meal for 2 and 2 drinks each!",0.5557,0.5399,0.2691,0.4697,0.4331
Le Binchotan,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Pips Yip,Food is okay. Don't like the service though. They served bread to another table based on request but refused to serve us. Also they gave an extra spoon of uni to another guest for the uni pasta but not us. Wonder why the differential treatment given we all paid the same price,0.5533,0.4092,0.2693,0.4298,0.4294
Fotia,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Martika A,"Good food, but arrogant service. And they didn't allow me to finish my coffee, bought on the way to this cafe, though I've ordered some food at their place. By the way, they have terrible coffee.",0.5525,0.4193,0.2711,0.5406,0.338
Dal In Restaurant,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Hanshi.Nancy Wu,"Nice place with nice Korean food and side dishes. But was astonished when I found something inside the army stew. On the flip side of the packet, I thought it's a dumpling but as I turned the item and found this 'Do No Eat' packet in the army stew. Should it be cooked in the stew? Staff was calm and replaced the entire pot of stew. Yet, I was disappointed by this encounter. I felt the need to review this as food is meant to be eaten and food need to be handled properly.",0.5504,0.5568,0.3324,0.4805,0.4382
Chao Ting,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Heng wen jie,Soupy Mui fan. Not too shabby but nothing fancy. Doesn't leave an impression. 9 dollars per bowl so it's not exactly cheap. Probably due to the rent that's why.,0.5483,0.3802,0.2639,0.4467,0.4064
Royz et Vous,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Esther Wooh,Sorry to say that the food now is not as good as my visit 3 years back. It was abit disappointing but the fish and chip is quite a large portion. They have recently inposed a 10% service charge on the total bill this week.,0.545,0.4569,0.2158,0.5391,0.4008
burger bar new york,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Kiku C,"Pricey even with 1-for-1 but it's not too bad! Everything is nice and juicy, and they ask you how done you want it. The fries are twice as expensive as Maccas but taste 50% better, so YMMV. Milkshakes are (oops) too vanilla. They also charge GST and Service charge when it's largely self service, so note that your $20 burger is going to cost $24..",0.5443,0.4252,0.2633,0.4573,0.4134
MeatSmith Telok Ayer,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Vijay Jacob,"I've eaten here numerous times especially for lunch and I'm yet to be disappointed. The meat is obviously the star here (you can't go wrong with anything-brisket/pastrami/pork belly/burgers) but it's made nicer by a soundtrack from the 80s, drinks and a smiling crew running the place",0.5415,0.4283,0.3445,0.4389,0.5384
Koji Sushi Bar,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Joel Tay,"This used to be a cool place with unique kaisendon or unagi rice bowls. But these days, the competition has caught up. And I don't like it that they have all these gimmicks to charge you more. When you sit, they ask if you would like a green tea or a drink. I didn't realise that they charge $3 for it!! So a bowl that is priced under $20 on the menu, plus tea etc becomes $25 after tax and service. I don't think these kinda fast moving stalls should even charge for service.",0.5396,0.3866,0.3073,0.396,0.4373
Ichida Japanese Dining,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Chester Chua,"I visited here for lunch. My order was missing for more than 30 mins due to the fact that staff forgot to cook my order. They didn't say anything until I told staff my situation. Staff service was so terrible that I moved out. The last time I visited here, I was able to enjoy the good quality of Japanese food so I am feeling so bad because my expectation was high. I would never come here.",0.5365,0.5187,0.4126,0.4854,0.4895
Sun King Ryoriya,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Clarice Mok,"Unfortunately I have to give one star based on the fried rice that I ordered. The rice was mushy (cause they used fresh rice) and did not have the wok hei smell which is essential for fried rice. The black sauce they gave was very mediocre, coupled with the frozen seafood used in the fried rice gave it a bad smell... I thought that perhaps I ordered something wrongly, so I tried the gyoza, which seemed to be one of the popular dish. Though it's not terrible, it literally tastes like the frozen gyoza bought from NTUC and pan fried. Overall, I will never return again. Prices are not really expensive, ranging from 10 to 20, but definitely not worth it considering there are so many lunch places that offer much better food for the same price.",0.5359,0.4841,0.3371,0.4376,0.4495
MARUKYU Japanese Dining,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",LeeAnn Chen,"Beyond the mediocrity of the food, the fact that there are many ants crawling across tables makes this restaurant not very appetizing.",0.5356,0.4741,0.3754,0.4248,0.442
No Menu Restaurant,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Anna WONG,"Do not order anything that you are not sure about the price, or today's specials without being informed the prices before hand. We went as 2 families with 3 kids, total 7 of us, and we were recommended to order today's special which was a platter of burrata, parma ham and tomatoes. The platter came with huge servings for 7 adults, and we were charged $15 per pax (we were not informed that we would be charged per pax), which amounted to more than $100 for an appetizer. and that's on top of the other appetizers that the waiter recommended. Really, do you expect the kids to eat like adults? Needless to say, plenty of leftover food and a shocking bill.",0.5339,0.4477,0.3921,0.4162,0.4505
Lai Huat Signatures,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Debby Ong,"Generally all the staff are Super dupe rude. They can bad mouth customers right in front especially the China lady. I wonder who empower her to that?? I witnessed customers called her and she blushed her Off. Foods wise really like normal Zhi char, not fantestic!!! Discourage",0.5323,0.4221,0.3173,0.4588,0.4336
Swee Kee Eating House,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Sherry Chua,"The food was lousy as the liver I order was tough to bite even a they do a change it still taste tough wonder it is fozen food they cook immediate that the result of it. Order Ba Kuet teh, ka gong too and it was good too. The cashier was slow to response cum have to pay cash as he commented they have some issued in their system. So did appointment.",0.5316,0.4723,0.2876,0.4518,0.4028
Ding Dong,"01/02/03, 138 Market St, 01 CapitaGreen, Singapore 048946",Kok Liang Hong,"Ding Dong serves great food, nice restaurant. But a little disappointing on the wait time. Went there for business lunch but sadly some of the food didn't come on time, so had to double down somw of the food.",0.5285,0.4172,0.2836,0.4457,0.4466
Nouri,"1 Boon Tat St, Singapore 069611",Terence Yeo Jian Wen,"came here to celebrate my wife's birthday. nouri certainly did not disappoint. it is highly recommended to make a reservation as they are mostly packed at every service. a deposit will be transacted and only executed if there is no show within a certain period ( 12 hours prior or something, cant remember ). had the lunch menu, service was top notch and crew spend time and effort to explain the dish for every single dish, including drinks and soup. cocktails can be bespoked at a charge but trust me, it is worth it. thumbs up, truly deserved Michelin 1 star.",0.5271,0.3313,0.456,0.3951,0.5121
Ichida Japanese Dining,"1 Boon Tat St, Singapore 069611",G,Went for 1-1 SGD168++ omakase of 7 course dinner. I would say totally not worth it..i felt like dining in a expensive ichiban boshi restaurant. After the dinner its like SGD100 per person(including GST and service charge) I cant imagine if I were to pay SGD168 for this set of items..,0.5267,0.3877,0.3889,0.4285,0.4712
The Market Grill,"1 Boon Tat St, Singapore 069611",Stoic Roman,Average food with terrible service. Please educate and teach your waiter some manners. Yes the one that served on 24 September 2019.,0.5266,0.3174,0.3222,0.3568,0.4515
Annalakshmi Janatha,"1 Boon Tat St, Singapore 069611",parveen dagar,There is no fixed charge for buffet. You can pay whatever amount you want to pay. Very nice place.,0.5265,0.2828,0.3086,0.3931,0.4759
Dal-In 2 Korean Restaurant,"1 Boon Tat St, Singapore 069611",Keefoong,"Poor experience from the main(?) branch at Boon Tat. Mood was already gone, before dinner started. This place was understaffed, coupled with the fact that there were 3 storeys of seatings. So service was extremely slow. Throughout the evening, the aircon at the third floor kept turning itself off automatically for no rhyme or reason. The big groups in that floor all had a hot pot going, making the room feel like a sauna. ""Free sauna"" if that's your kind of thing. Would not recommend",0.5251,0.5202,0.3546,0.5255,0.4102
SUM YI TAI,"1 Boon Tat St, Singapore 069611",Kathy _,"Nice concept and interiors but I have never had this bad experience with food and drinks before until I tried this place. Ordered 3 types of snacks which all sucks, claypot rice which is a total joke and unbearable cocktail. We ended up forcing ourselves to eat and staffing our face with the soysauce rice from claypot because the minced meat and supposedly salted egg yolk was really bad. I felt like I have wasted my money for coming here. Service staff at the rooftop was okay and friendly.",0.5232,0.4847,0.3417,0.5079,0.4456
Blue Label Pizza & Wine,"1 Boon Tat St, Singapore 069611",Y Lee,"Not recommended. Food is average but service leaves a bad aftertaste. Service: Really terrible service as they do not have the basic courtesy of reminding you that they need the table back after 2 hours when you first get to the restaurant or while making a second order. So we were told that they needed the table back at 9:00pm at 9:01pm. By then, we were just halfway into a second pizza which was ordered at 8:15pm and arrived at 8:45pm. The excuse? Oh, it was indicated when you made an online reservation. So I went to check my reservation and it was in fine print. Even if it was indicated in fine print, I've never had a restaurant that doesn't give the heads-up when you first arrive. The solution? Oh, you can pack your remaining pizza or we can try to find you space at the bar. By then, we really had no appetite and just paid for the bill and left. Food: Average but overpriced. I don't usually give bad reviews to a restaurant just solely on the service but the food couldn't save its service. Plenty of good pizzas around now, you really don't have to come here. Overall, never coming back. For all the upscale that it was trying to be (as you can see from the decor), the service was one of the worst I've had.",0.5207,0.4414,0.3146,0.4505,0.4478
SoupErich,"1 Boon Tat St, Singapore 069611",mtml,"Got quoted $6 for a lotus root soup (no fish dumplings) and a bowl of rice. When paying, took out $7 to pay, and didn't get any change. When I asked the uncle at the register again what the price of the food was, he changed the price of the food to $7 and didn't give me change... Better be careful of the arbitrary pricing",0.5206,0.4123,0.3678,0.3889,0.4648
The Flying Squirrel,"1 Boon Tat St, Singapore 069611",Jamie Wan,"The flying squirrel is one of those places where I always go to after 5-7 drinks, starving and in desperate need of some good food. You're not going to expect crazy Omakase level sushi but boy oh boy, I never ever have a disappointing time here. Their sushis are pricey but it contains just the right amount of rice and its a great little morsel of food to put into your mouth. We always end up over ordering but leaving happy and slightly sober.",0.5194,0.4465,0.4318,0.4476,0.5211
Noti Restaurant & Bar,"1 Boon Tat St, Singapore 069611",Eric Pucciarelli,"At a first glance, as an Italian, I was a little doubtful. Finally after having tested I confirm: proper cuisine from Salento!",0.5191,0.4232,0.4365,0.4693,0.4675
Dal-In 2 Korean Restaurant,"1 Boon Tat St, Singapore 069611",David Chorbadzhiev,Delicious food. Honestly absolutely astonishing. But... Really understaffed. So service was very very poor.,0.5181,0.5056,0.4363,0.537,0.3905
Wang Dae Bak Pocha,"1 Boon Tat St, Singapore 069611",Hilton Lam,We waited for 1.5 hrs for the food. Followed up with the staff 3 times. They didn't check our food order and finally they said they the order was not in the system. No apology. Horrendous.,0.5174,0.4367,0.3696,0.4707,0.3951
Go K BBQ Amoy,"1 Boon Tat St, Singapore 069611",Joheun Park,"I visited Bukit Timah Plaza branch, and so disappointed. I visited there with my friends(number of 4). My friends are small eater so we wanted to order and share but simply they refused. Must order by number of people. I don't want to give even one star. I heard some restaurants asking to order minimum 2pax something like that but I never heard must order by number of people.",0.5172,0.429,0.3122,0.4528,0.484
SoupErich,"1 Boon Tat St, Singapore 069611",Janice Goh,"Food is alright but ventilation in that shop is poor. Owner tries to squeeze as many diners in one table, thus very tight. They clear tables very fast and expect you to leave once you finish your food even thou your lunch partner is not ready",0.5171,0.4266,0.345,0.4129,0.443
IZY Fook,"1 Boon Tat St, Singapore 069611",J,"Want overpriced, tiny Asian food? Come to Izy Fook. Average tzechar food pretending to be fusion and charging $18 for few slices of amberjack or prawn meepok just doesn't cut it.",0.516,0.368,0.252,0.3639,0.4003
Guo Fu Hotpot Steamboat,"1 Boon Tat St, Singapore 069611",Justin Wong,"The ingredients were great. However, it was rather tiresome to cook everything in one small tiny pot on conventional fuel. I'd imagine it would feel much better if there was enough people to use the gas powered heaters",0.515,0.4178,0.4027,0.4055,0.5261
Blue Label Pizza & Wine,"1 Boon Tat St, Singapore 069611",richard chen,"Pretty average pizza when measuring against normal competition but Singapore is a pizza wasteland so I can imagine why people rate this so highly. Too much sauce, mid-range quality cheese and the assortment of seeds on the crust ruin what could have been a solid effort. Also, for a city that prides itself on spice, the jalape̱os on the pizza lack any sort of punch.",0.5139,0.3788,0.3431,0.3964,0.4268
Momma Kong's,"1 Boon Tat St, Singapore 069611",Carol KUM,Yummy crabs with many choice of taste. Comfortable environment. Most important is they got fixed price of the crabs. It was surprised that they got waffle for dessert!,0.513,0.314,0.4365,0.3689,0.6362
GAIG RESTAURANT,"1 Boon Tat St, Singapore 069611",Nigel Moy,Can only say we were very disappointed with Gaig. The 3 stars are because the food was good if overpriced. Downsides to the food were that the vegetable platter was pickled without any indication it was going to be and the prawns that went with the squid ink Paella were all head and tail. The real disappointment and the reason we will not return there was the complete lack of atmosphere and engagement from the staff. It really felt as though they could not care less whether we enjoyed the evening or not. The lady manager/owner was (granted she had lost her voice) miserable and competent indifferent. Not a good experience.,0.5129,0.453,0.3103,0.4905,0.4981
Shukuu Japanese Izakaya and Sake Bar,"1 Boon Tat St, Singapore 069611",Jan,"6 months ago This place is a gem! Though I very much dislike the parking area after work hours, this place is a must-come for its food and sake variety and taste! We forgot the number of plates we ordered, as each tasted so good that we ordered the same dishes repeatedly. Dinner crowd is packed but service was prompt and the service staff took time to recommend what he thought was good and popular. A great place after work to chill and have fun!",0.5118,0.4362,0.4705,0.4652,0.5615
Katanashi An,"1 Club St, Singapore 069400",mabel chia,"Called ahead to check availability, still ended up with the worst seats in the house. Sat us next to the fryer without a splash guard, so 15 minutes in and we were out. Waitress took a good 15 minutes to hand us the menu. We left covered in regret and a fine mist of frying oil. Never got to try the food, but probably won't return due to the lack of service as well as common sense of the management.",0.5115,0.5111,0.32,0.4583,0.4204
Pagi Sore,"1 Club St, Singapore 069400",JaeJoon Song,"Food itself maight be okay and I can say staffs were kind. However, they were all careless so that I should always have kept raising my hand to beg thier attention. We ordered 4 pax course menu but they didn't even complete serving all of menu. Having been awaitng remaining 1 dish and 4 deserts, we just left.",0.5113,0.4112,0.3154,0.4766,0.4085
Hyang Yeon Restaurant,"1 Club St, Singapore 069400",Gwyneth Chua,"You need to know what kind of experience you are looking for and be aware that ""things may not going according to plan"". Yesterday was my 4th visit in 1.5years of so and I was ABSOLUTELY TURNED OFF by the other patrons who were really HIGH and NOISY. The restaurant staff perhaps did not think they could advise their patrons to be more well behaved leaving many tables of patrons annoyed and upset. The rackus started as early as 7:30pm until that big group left (near 9:30pm). Before they left, a couple came in with the baby (in a stroller) and I thought to myself...it's not a good idea at all! Baby would get shocked by inconsiderate patrons. Things I think the restaurant needs to work on/u need to know before u decide to come: 1. Restaurant doesn't accept reservations after 7pm. 2. Restaurant does not manage inappropriate behaviour of patrons (your enjoyment of food could be MAJORLY affected and no one would be able to compensate u for that). If you want a peaceful meal, avoid dinners?",0.5103,0.4403,0.3631,0.4326,0.448
SWEE KEE EATING HOUSE,"1 Club St, Singapore 069400",John Zhang,What happened to your signature fish soup?!? Not because I haven't had it in a while. Not because others were better than you. But why did your quality fell so much till I could immediately tell? The soup was so bland and Chunky fish I remembered has turned into thin and uninspiring slices. Very sad to see such a big change of the worst.,0.5092,0.4998,0.2887,0.5429,0.3951
Oven & Fried Chicken,"1 Club St, Singapore 069400",Kenneth Goh,"Visitors, just look out for promotions as the staff won't tell you about them. Though I spent $800 at the restaurant, the staff refused to give me the promotion prices as my guest ordered separate items. Food is good, just unfortunate for service.",0.5073,0.3984,0.3824,0.4701,0.4372
Go K BBQ Amoy,"1 Club St, Singapore 069400",Chuck Taylor,This is the best place for Korean BBQ in Singapore. It gets busy so be aware but the meat is fresh and as close as the top quality you get in Korea. Must visit,0.5071,0.3625,0.4351,0.3679,0.6283
IZY Fook,"1 Club St, Singapore 069400",Yi Lin,"As other reviewers said, just average zi char food at ridiculous prices. You'd be better off going to the nearby hawker centre. Charsiew: 2 out of 5. Regular charsiew like coffee shop. Wagyu: 1 out of 5. Frozen, not fresh. Meat was dull in colour and taste. Value for money: 1 out of 5. You're paying tourist/CBD prices for zi char food in a dark air-con room.",0.506,0.4212,0.3639,0.3801,0.4545
Gayatri Resturant,"1 Club St, Singapore 069400",Godfrey Foo,"Food was alright but the indoor area was a little warm, even with the air conditioning. The place did smell a little like a toilet, but if you're planning on just eating and leaving, it's actually not too bad",0.5051,0.5791,0.2921,0.5383,0.3683
Ichida Japanese Dining,"1 Club St, Singapore 069400",TingShu Toh,"We waited for close to an hr and the food did not come and when i ask for it, the food came in 2 mins.. and the manager did not apologize.",0.5051,0.4524,0.2952,0.4314,0.4254
Royz et Vous,"1 Club St, Singapore 069400",Sonad Lee,Food not bad with big portions especially the appetisers. Tip when making reservation to ask for sofa seats if not you're likely to be stuck in the middle of the restaurant awkwardly,0.5031,0.5234,0.2456,0.4546,0.3885
Straits Chinese Restaurant,"1 Club St, Singapore 069400",Marcus Tan,Had Dry Laksa here for lunch. Prawns were translucent. Order took 25 mins to come. It tasted like Laksa I could get for $3 at the hawker but I had to pay $14 instead.,0.5029,0.3696,0.4061,0.355,0.53
Swee Kee Eating House,"1 Club St, Singapore 069400",Corinna Zennig,"Terrible experience. The waitresses avoided and ignored us at all costs it seemed even when we were waiving in her face after ten minutes of not having our order taken. Waitress did not know their own English menu. All items came in English first with a Chinese translation right below. Waitress had no idea what my English noodle choice was and did not bother asking the other staff. She made us pick a random Chinese character. I do not expect this kind of behavior of a proper restaurant with automatic service charge. The food was not good either. Tasted full of MSG or whatever other cheap ingredients. $30 for one tiger beer and two plates of random noodles., great selection of appetisers. Service: excellent. So helpful -we made our last call order via phone and they took it. Our table was all made up by the time we arrived. (Thanks!) Cost/Value for money: good value. I haven't found another place that offers this quality and variety of food of similar price range.",0.5024,0.3635,0.3863,0.4107,0.51
